Username,Top Repository,Github,Repository URL,Ratings
prowler-cloud,prowler,https://github.com//prowler-cloud,https://github.com//prowler-cloud/prowler,9200
danny-avila,LibreChat,https://github.com//danny-avila,https://github.com//danny-avila/LibreChat,8200
milanm,DevOps-Roadmap,https://github.com//milanm,https://github.com//milanm/DevOps-Roadmap,7700
Netflix,metaflow,https://github.com//Netflix,https://github.com//Netflix/metaflow,7400
microsoft,azuredatastudio,https://github.com//microsoft,https://github.com//microsoft/azuredatastudio,7400
midwayjs,midway,https://github.com//midwayjs,https://github.com//midwayjs/midway,7100
node-formidable,formidable,https://github.com//node-formidable,https://github.com//node-formidable/formidable,6900
budtmo,docker-android,https://github.com//budtmo,https://github.com//budtmo/docker-android,6800
thangchung,clean-code-dotnet,https://github.com//thangchung,https://github.com//thangchung/clean-code-dotnet,6700
babel,babel,https://github.com//babel,https://github.com//babel/babel,42800
swc-project,swc,https://github.com//swc-project,https://github.com//swc-project/swc,29600
nylas,nylas-mail,https://github.com//nylas,https://github.com//nylas/nylas-mail,24800
electron-react-boilerplate,electron-react-boilerplate,https://github.com//electron-react-boilerplate,https://github.com//electron-react-boilerplate/electron-react-boilerplate,22400
SimulatedGREG,electron-vue,https://github.com//SimulatedGREG,https://github.com//SimulatedGREG/electron-vue,15400
grab,front-end-guide,https://github.com//grab,https://github.com//grab/front-end-guide,15100
jamiebuilds,babel-handbook,https://github.com//jamiebuilds,https://github.com//jamiebuilds/babel-handbook,11900
developit,htm,https://github.com//developit,https://github.com//developit/htm,8500
grommet,grommet,https://github.com//grommet,https://github.com//grommet/grommet,8300
ben-rogerson,twin.macro,https://github.com//ben-rogerson,https://github.com//ben-rogerson/twin.macro,7800
angular-fullstack,generator-angular-fullstack,https://github.com//angular-fullstack,https://github.com//angular-fullstack/generator-angular-fullstack,6100
fkling,astexplorer,https://github.com//fkling,https://github.com//fkling/astexplorer,5800
documentationjs,documentation,https://github.com//documentationjs,https://github.com//documentationjs/documentation,5800
insin,nwb,https://github.com//insin,https://github.com//insin/nwb,5600
thinkjs,thinkjs,https://github.com//thinkjs,https://github.com//thinkjs/thinkjs,5300
ast-grep,ast-grep,https://github.com//ast-grep,https://github.com//ast-grep/ast-grep,5300
egoist,poi,https://github.com//egoist,https://github.com//egoist/poi,5200
thx,gogocode,https://github.com//thx,https://github.com//thx/gogocode,5100
duxianwei520,react,https://github.com//duxianwei520,https://github.com//duxianwei520/react,4900
babel,babel-loader,https://github.com//babel,https://github.com//babel/babel-loader,4800
jlevy,the-art-of-command-line,https://github.com//jlevy,https://github.com//jlevy/the-art-of-command-line,146000
nvm-sh,nvm,https://github.com//nvm-sh,https://github.com//nvm-sh/nvm,74100
junegunn,fzf,https://github.com//junegunn,https://github.com//junegunn/fzf,58100
google,zx,https://github.com//google,https://github.com//google/zx,40400
starship,starship,https://github.com//starship,https://github.com//starship/starship,39500
LeCoupa,awesome-cheatsheets,https://github.com//LeCoupa,https://github.com//LeCoupa/awesome-cheatsheets,36700
dylanaraps,pure-bash-bible,https://github.com//dylanaraps,https://github.com//dylanaraps/pure-bash-bible,35600
acmesh-official,acme.sh,https://github.com//acmesh-official,https://github.com//acmesh-official/acme.sh,35600
